Close,Volume,average10,average30,RSI5,RSI10,MACD1216,指標線
26.040001,3440000,26.04,26.04,0,0,0,0
25.75,3806000,25.9,25.9,0,0,0,0
25.4,3145000,25.73,25.73,0,0,0,0
25.450001,1543000,25.66,25.66,0,0,0,0
25.049999,5381000,25.54,25.54,0,0,0,0
25.360001,2479000,25.51,25.51,25.94,0,0,0
25.559999,1959000,25.52,25.52,42.83,0,0,0
25.75,2392000,25.55,25.55,65.08,0,0,0
25.799999,2780000,25.57,25.57,65.06,0,0,0
25.9,2788000,25.61,25.61,100,0,0,0
26.219999,6127000,25.62,25.66,100,53.9,0,0
25.75,3907000,25.62,25.67,58.5,50,0,0
25.040001,3522000,25.59,25.62,28.2,43.48,0,0
25.049999,3822000,25.55,25.58,26.44,42.66,0,0
24.889999,1096000,25.53,25.53,19.47,46.75,0,0
23.5,4988000,25.35,25.41,0.36,23.49,0,0
23.01,3235000,25.09,25.27,0.35,16.5,0,0
23.41,1651000,24.86,25.16,17.19,21.43,0,0
23.799999,2082000,24.66,25.09,28.44,27.75,0,0
22.9,2572000,24.36,24.98,22.38,21.5,0,0
22.73,1571000,24.01,24.87,33.48,16.18,0,0
22.74,1312000,23.71,24.78,42.64,17.88,0,0
22.73,718000,23.48,24.69,26.75,20.84,0,0
23.049999,703000,23.28,24.62,23.69,26.83,0,0
22.92,642000,23.08,24.55,51.56,26.94,0,0
22.799999,766000,23.01,24.48,55.97,38.06,-1.14,0
23.5,1289000,23.06,24.45,79.58,57.76,-1.04,0
23.5,979000,23.07,24.41,80.22,51.62,-0.95,0
23.66,690000,23.05,24.39,77.25,47.29,-0.86,0
23.93,727000,23.16,24.37,90.21,76.96,-0.76,0
23.67,813000,23.25,24.37,81.58,73.82,-0.69,0
23.790001,1321000,23.35,24.29,67.98,75.17,-0.62,0
23.799999,753000,23.46,24.23,68.37,75.65,-0.55,0
24.25,1183000,23.58,24.18,76.5,76.88,-0.46,0
24.5,1444000,23.74,24.14,75.93,83.66,-0.36,-0.74
24.549999,913000,23.91,24.12,100,88.6,-0.28,-0.65
24.75,924000,24.04,24.09,100,85.17,-0.19,-0.56
24.639999,673000,24.15,24.06,89.78,80.32,-0.13,-0.47
24.959999,883000,24.28,24.03,88.21,81.75,-0.06,-0.39
25,1236000,24.39,24,84.7,79.36,0,-0.31
25.5,2208000,24.57,23.97,90.5,94.66,0.09,-0.23
25.299999,1492000,24.72,23.94,73.56,85.7,0.14,-0.16
24.969999,765000,24.84,23.93,62.03,74.26,0.16,-0.09
24.950001,588000,24.91,23.93,49.54,67.57,0.16,-0.04
25.110001,1015000,24.97,23.92,54.57,65.95,0.18,0
24.879999,481000,25.01,23.93,17.09,57.92,0.17,0.04
24.629999,966000,24.99,23.98,16.13,47.18,0.14,0.06
24.200001,2205000,24.95,24.03,14.49,40.94,0.09,0.06
24.25,2742000,24.88,24.06,18.64,33.71,0.04,0.06
24.299999,1050000,24.81,24.07,10.05,34.05,0.01,0.05
24.6,401000,24.72,24.12,37.17,27.96,0.01,0.04
24.99,1129000,24.69,24.18,64.59,43.1,0.05,0.04
25.790001,4769000,24.77,24.26,100,65,0.13,0.06
25.709999,2630000,24.85,24.36,95.2,63.63,0.2,0.09
25.700001,2177000,24.9,24.45,94.45,61.16,0.24,0.12
25.26,937000,24.94,24.54,69.47,56.76,0.24,0.14
25.73,1245000,25.05,24.62,70.63,68.14,0.27,0.17
25.5,965000,25.18,24.7,38.26,73.4,0.27,0.19
25.450001,778000,25.3,24.76,39.2,71.62,0.27,0.21
25.559999,615000,25.43,24.82,44.64,72.18,0.27,0.22
25.5,651000,25.52,24.88,63.12,67.27,0.27,0.23
25.629999,736000,25.58,24.94,41.42,63.54,0.27,0.24
25.6,791000,25.56,25,63.15,44.14,0.27,0.24
25.549999,795000,25.55,25.06,63.18,44.96,0.26,0.25
25.75,1584000,25.55,25.1,70.17,51.4,0.26,0.25
25.98,2779000,25.62,25.14,87.45,73.06,0.28,0.26
26.16,1687000,25.67,25.19,88.3,66.77,0.31,0.27
26.25,1701000,25.74,25.24,93.25,83.04,0.33,0.28
26.74,2437000,25.87,25.29,100,90.93,0.39,0.3
26.82,4023000,26,25.35,100,90.73,0.43,0.33
26.65,1376000,26.11,25.41,83.35,84.96,0.45,0.35
26.6,1305000,26.21,25.45,75.16,81.02,0.45,0.37
26.700001,1980000,26.32,25.49,75.39,83.68,0.46,0.39
26.6,1285000,26.43,25.55,35.99,81.34,0.45,0.4
26.6,1185000,26.51,25.61,23.84,78.76,0.44,0.41
26.65,2202000,26.58,25.66,50,75.75,0.43,0.41
26.75,1051000,26.64,25.71,71.42,74.1,0.42,0.41
26.5,1329000,26.66,25.79,29.97,59.07,0.39,0.41
26.299999,875000,26.62,25.86,24.89,29.92,0.35,0.4
26.629999,1112000,26.6,25.93,51.61,43,0.34,0.39
26.32,789000,26.56,26.01,36.12,38.9,0.3,0.37
26.25,377000,26.53,26.07,28.46,38.37,0.26,0.35
26.280001,549000,26.49,26.11,38.28,35.41,0.23,0.33
26.25,292000,26.45,26.12,46.73,37.19,0.2,0.3
26.15,254000,26.41,26.14,5.58,34.64,0.17,0.28
26.049999,899000,26.35,26.16,9.07,30.19,0.14,0.25
26.6,1082000,26.33,26.18,71.48,46.23,0.15,0.23
26.65,840000,26.35,26.21,72.15,54.2,0.16,0.21
26.969999,2338000,26.41,26.25,81.94,67.6,0.2,0.21
27.08,2642000,26.46,26.3,91.01,63.28,0.23,0.21
27.5,2921000,26.58,26.35,100,82.84,0.29,0.23
27.09,2367000,26.66,26.42,68.9,69.91,0.3,0.24
26.9,623000,26.72,26.47,58.73,63.71,0.28,0.25
26.870001,849000,26.79,26.51,45.64,63.73,0.27,0.25
